               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,       train/l1_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,         val/l1_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.6632,              7.6105,              2.5256,              1.7545,            0.030543,           0.0072081,            0.019165,           0.0071987,                 nan,               8.195,              0.7088,              818.98,             0.07001,           0.0033322,           0.0033322
                   1,              2.2313,              3.8282,              2.3602,               1.319,              0.1444,            0.034778,            0.090228,            0.048677,                 nan,              8.2195,             0.76304,              809.44,            0.039988,           0.0066435,           0.0066435
                   2,              2.1577,              3.4643,              2.0327,              1.2185,             0.27417,            0.085111,              0.1809,             0.11247,                 nan,              9.1436,             0.86405,              804.27,           0.0099441,           0.0099329,           0.0099329
                   3,              2.0355,              3.1353,               1.813,              1.1248,             0.44653,             0.13813,             0.29481,              0.1747,                 nan,              9.4411,             0.96679,              808.97,            0.009901,            0.009901,            0.009901
                   4,               1.951,              3.0095,              1.6936,              1.0712,              0.4968,             0.16725,             0.33802,             0.21179,                 nan,              9.6631,              1.0383,              812.43,            0.009901,            0.009901,            0.009901
                   5,              1.9205,              2.9619,              1.6238,              1.0453,             0.50695,             0.18286,             0.35195,             0.21843,                 nan,              8.3839,              1.0703,              828.11,            0.009868,            0.009868,            0.009868
                   6,              1.8932,              2.8669,              1.5713,              1.0261,             0.54681,             0.20352,             0.38308,             0.24671,                 nan,              9.3186,              1.0985,              817.54,            0.009835,            0.009835,            0.009835
                   7,              1.8629,              2.8163,              1.5294,              1.0068,             0.56493,             0.21443,             0.39825,             0.25513,                 nan,              9.5982,              1.1163,              815.67,            0.009802,            0.009802,            0.009802
                   8,              1.7898,              2.7281,              1.4746,              0.9721,             0.58611,               0.218,             0.41037,             0.26831,                 nan,              9.3554,              1.1236,               817.1,            0.009769,            0.009769,            0.009769
                   9,              1.8006,              2.7264,              1.4685,             0.97687,             0.61119,             0.21518,             0.42169,             0.27756,                 nan,              9.0474,              1.1176,              817.14,            0.009802,            0.009802,            0.009802
                  10,              1.8029,              2.7189,              1.4602,             0.97781,             0.63407,             0.21164,             0.43126,             0.28628,                 nan,               8.668,              1.1067,              817.97,           0.0097773,           0.0097773,           0.0097773
                  11,              1.8041,              2.7069,              1.4491,             0.97669,             0.65422,             0.20685,             0.43799,             0.29153,                 nan,              8.2892,              1.0929,              818.33,           0.0097525,           0.0097525,           0.0097525
                  12,              1.7981,               2.697,               1.439,             0.97384,             0.67296,              0.2007,             0.44437,             0.29703,                 nan,              7.9359,              1.0806,              819.08,           0.0097278,           0.0097278,           0.0097278
                  13,              1.7969,              2.6883,              1.4299,             0.97212,             0.67036,             0.19481,             0.43954,             0.29288,                 nan,              7.6026,              1.0686,              819.98,            0.009703,            0.009703,            0.009703
                  14,              1.7901,              2.6748,              1.4198,             0.96766,             0.66366,              0.1909,             0.43374,             0.29117,                 nan,               7.344,              1.0582,               820.4,           0.0096783,           0.0096783,           0.0096783
                  15,              1.7907,              2.6707,              1.4121,             0.96551,             0.66174,             0.18787,             0.43065,             0.29038,                 nan,              7.1644,              1.0477,              820.85,           0.0096535,           0.0096535,           0.0096535
                  16,              1.7856,               2.651,              1.3991,             0.96122,             0.66593,             0.18611,             0.43152,             0.29164,                 nan,              7.0517,              1.0415,              820.75,           0.0096288,           0.0096288,           0.0096288
                  17,              1.7818,              2.6484,              1.3941,             0.96043,             0.66579,              0.1859,             0.43139,             0.29239,                 nan,              7.0068,              1.0367,              820.11,            0.009604,            0.009604,            0.009604
                  18,              1.7797,              2.6345,              1.3833,             0.95615,             0.67943,             0.18662,             0.43856,             0.29766,                 nan,              6.9854,              1.0351,              820.08,           0.0095793,           0.0095793,           0.0095793
                  19,              1.7726,              2.6294,              1.3801,             0.95373,             0.68964,             0.18895,             0.44509,             0.30367,                 nan,              7.0061,              1.0361,              820.05,           0.0095545,           0.0095545,           0.0095545
                  20,              1.7685,              2.6187,              1.3732,             0.95073,             0.69022,              0.1931,             0.44726,             0.30637,                 nan,              7.0593,              1.0388,              819.58,           0.0095298,           0.0095298,           0.0095298
                  21,              1.7664,              2.6128,              1.3657,              0.9495,             0.69349,              0.1989,             0.45132,             0.30822,                 nan,              7.1213,              1.0445,              819.23,            0.009505,            0.009505,            0.009505
                  22,              1.7649,              2.6043,              1.3595,             0.94727,             0.67937,             0.20438,             0.44717,             0.30428,                 nan,              7.2356,              1.0517,              818.84,           0.0094803,           0.0094803,           0.0094803
                  23,              1.7619,              2.5998,               1.355,             0.94532,             0.68866,             0.21115,             0.45513,             0.31054,                 nan,              7.3578,              1.0589,              818.59,           0.0094555,           0.0094555,           0.0094555
                  24,              1.7609,              2.5913,              1.3497,             0.94266,             0.68395,             0.21764,             0.45693,              0.3137,                 nan,              7.4697,              1.0684,              818.37,           0.0094307,           0.0094307,           0.0094307
                  25,              1.7598,              2.5889,              1.3481,             0.94305,              0.6879,             0.22492,             0.46268,             0.32072,                 nan,              7.6178,              1.0785,              818.09,            0.009406,            0.009406,            0.009406
                  26,              1.8359,              2.7167,              1.4288,             0.98606,             0.68605,             0.22741,             0.46307,             0.32125,                 nan,              7.8258,              1.0708,              813.41,           0.0093813,           0.0093813,           0.0093813
                  27,              1.7913,              2.6575,              1.3848,              0.9585,             0.67334,             0.22708,             0.45629,             0.31378,                 nan,               7.981,              1.0491,              812.94,           0.0093565,           0.0093565,           0.0093565
                  28,              1.7782,              2.6321,              1.3626,             0.94841,             0.67391,             0.22783,             0.45649,             0.31296,                 nan,              8.1356,              1.0364,              812.25,           0.0093317,           0.0093317,           0.0093317
                  29,              1.7737,              2.6203,              1.3528,             0.94409,             0.67969,             0.23119,             0.46172,             0.31708,                 nan,              8.3541,              1.0347,                 812,            0.009307,            0.009307,            0.009307
                  30,              1.7646,              2.6101,              1.3465,             0.93785,              0.7106,             0.23868,              0.4816,              0.3293,                 nan,              8.5826,              1.0432,              811.99,           0.0092823,           0.0092823,           0.0092823
                  31,              1.7634,              2.5992,              1.3382,             0.93716,              0.7143,              0.2463,              0.4883,             0.33027,                 nan,              8.8454,              1.0562,              811.54,           0.0092575,           0.0092575,           0.0092575
                  32,              1.7605,              2.5928,              1.3341,             0.93416,             0.71773,             0.25367,             0.49395,             0.33429,                 nan,              9.0511,              1.0709,               811.3,           0.0092327,           0.0092327,           0.0092327
                  33,              1.7559,              2.5835,              1.3284,             0.93194,              0.7132,             0.26215,             0.49641,             0.33764,                 nan,              9.1864,              1.0861,              811.07,            0.009208,            0.009208,            0.009208
                  34,              1.7523,              2.5728,              1.3212,             0.92892,             0.70949,             0.27146,              0.4995,             0.34006,                 nan,              9.4202,              1.1012,              810.58,           0.0091833,           0.0091833,           0.0091833
                  35,              1.7512,              2.5736,               1.322,             0.92942,             0.70156,             0.28055,             0.50085,              0.3419,                 nan,              9.6254,              1.1171,               810.4,           0.0091585,           0.0091585,           0.0091585
                  36,              1.7519,              2.5751,              1.3208,             0.92887,             0.69663,             0.28631,             0.50152,             0.34244,                 nan,              9.7768,              1.1308,              810.11,           0.0091337,           0.0091337,           0.0091337
                  37,              1.7451,              2.5687,              1.3185,             0.92667,             0.70528,             0.29161,             0.50975,              0.3476,                 nan,              9.9421,              1.1425,              809.86,            0.009109,            0.009109,            0.009109
                  38,              1.7458,              2.5646,              1.3153,             0.92446,             0.69982,             0.29747,             0.51051,             0.34896,                 nan,              10.099,              1.1533,              809.47,           0.0090843,           0.0090843,           0.0090843
                  39,              1.7436,              2.5568,              1.3121,             0.92296,             0.69094,             0.30223,             0.50945,             0.34797,                 nan,              10.218,              1.1623,              809.03,           0.0090595,           0.0090595,           0.0090595
                  40,              1.7417,               2.555,              1.3104,             0.92182,             0.68368,             0.30799,              0.5087,             0.34751,                 nan,              10.272,              1.1712,                 809,           0.0090347,           0.0090347,           0.0090347
                  41,              1.7371,              2.5527,              1.3094,             0.91994,             0.66921,             0.31056,              0.5033,             0.34378,                 nan,              10.374,              1.1789,              808.91,             0.00901,             0.00901,             0.00901
                  42,              1.7352,              2.5527,              1.3049,             0.91951,             0.67426,             0.31358,             0.50773,             0.34636,                 nan,              10.402,              1.1856,              808.84,           0.0089853,           0.0089853,           0.0089853
                  43,              1.7345,              2.5523,              1.3055,             0.91981,             0.67131,             0.31655,             0.50766,             0.34711,                 nan,              10.389,              1.1931,              808.99,           0.0089605,           0.0089605,           0.0089605
                  44,               1.733,              2.5442,              1.3018,             0.91779,             0.66799,             0.31914,             0.50731,             0.34598,                 nan,              10.463,              1.1992,              809.14,           0.0089358,           0.0089358,           0.0089358
                  45,              1.7318,              2.5478,              1.3026,             0.91771,             0.66843,              0.3199,             0.50864,             0.34703,                 nan,               10.44,              1.2049,              809.42,            0.008911,            0.008911,            0.008911
                  46,              1.7301,              2.5426,              1.2968,              0.9171,             0.66477,             0.32185,              0.5079,             0.34658,                 nan,              10.487,              1.2101,              809.24,           0.0088863,           0.0088863,           0.0088863
                  47,              1.7282,              2.5377,              1.2941,             0.91569,             0.66153,             0.32329,             0.50712,             0.34669,                 nan,              10.534,              1.2146,              809.16,           0.0088615,           0.0088615,           0.0088615
                  48,              1.7279,              2.5377,              1.2941,             0.91548,             0.65875,             0.32565,             0.50719,             0.34557,                 nan,              10.582,              1.2186,              809.11,           0.0088368,           0.0088368,           0.0088368
                  49,              1.7243,              2.5321,               1.291,             0.91336,             0.66157,             0.32774,             0.50956,              0.3469,                 nan,              10.614,              1.2226,              808.83,            0.008812,            0.008812,            0.008812
                  50,              1.7257,               2.537,              1.2927,             0.91327,              0.6643,             0.32993,             0.51148,             0.34891,                 nan,               10.65,              1.2266,              808.67,           0.0087872,           0.0087872,           0.0087872
                  51,              1.7252,              2.5319,              1.2888,              0.9132,             0.65955,             0.33119,             0.50995,             0.34723,                 nan,              10.679,              1.2302,              808.61,           0.0087625,           0.0087625,           0.0087625
                  52,              1.7214,              2.5294,              1.2899,             0.91163,             0.66756,              0.3336,             0.51561,             0.35316,                 nan,              10.764,              1.2343,              808.42,           0.0087378,           0.0087378,           0.0087378
                  53,              1.7199,              2.5279,              1.2862,             0.91065,             0.66429,             0.33544,             0.51531,             0.35419,                 nan,              10.854,              1.2382,              808.24,            0.008713,            0.008713,            0.008713
                  54,              1.7181,              2.5262,               1.285,             0.90997,             0.66806,              0.3374,             0.51809,             0.35571,                 nan,              10.873,              1.2409,              808.16,           0.0086882,           0.0086882,           0.0086882
                  55,              1.7172,              2.5253,              1.2844,             0.90842,             0.67064,             0.33903,             0.51968,             0.35756,                 nan,              10.887,              1.2428,               808.2,           0.0086635,           0.0086635,           0.0086635
                  56,              1.7151,              2.5224,              1.2801,             0.90923,             0.67223,             0.34111,             0.52087,             0.35666,                 nan,              10.932,              1.2463,              808.52,           0.0086388,           0.0086388,           0.0086388
                  57,              1.7177,              2.5221,               1.283,              0.9085,             0.66417,             0.34176,             0.51787,             0.35342,                 nan,              10.966,              1.2476,              808.13,            0.008614,            0.008614,            0.008614
                  58,              1.7131,              2.5213,              1.2811,              0.9082,             0.66893,             0.34313,             0.52094,              0.3569,                 nan,              10.997,              1.2497,              808.12,           0.0085893,           0.0085893,           0.0085893
                  59,              1.7136,              2.5191,              1.2801,             0.90931,             0.66894,             0.34453,             0.52163,             0.35734,                 nan,              11.018,              1.2517,              808.21,           0.0085645,           0.0085645,           0.0085645
                  60,              1.7115,              2.5082,              1.2737,             0.90535,             0.66786,             0.34591,             0.52193,             0.35812,                 nan,              11.022,              1.2531,              808.22,           0.0085398,           0.0085398,           0.0085398
                  61,              1.6904,              2.4257,              1.2192,             0.88561,             0.66532,             0.34678,             0.52163,              0.3574,                 nan,              11.104,              1.2528,              810.76,            0.008515,            0.008515,            0.008515
                  62,              1.6939,              2.4589,              1.2408,             0.89137,             0.66944,             0.34746,             0.52374,             0.35852,                 nan,              11.117,              1.2542,              810.73,           0.0084903,           0.0084903,           0.0084903
                  63,              1.6913,              2.4535,              1.2368,             0.89001,             0.66834,             0.34685,             0.52277,             0.35915,                 nan,              11.129,              1.2551,              810.65,           0.0084655,           0.0084655,           0.0084655
                  64,              1.6915,              2.4518,              1.2343,             0.88961,             0.66817,             0.34795,             0.52343,             0.36018,                 nan,              11.144,              1.2567,              810.67,           0.0084408,           0.0084408,           0.0084408
                  65,                1.69,              2.4539,              1.2359,             0.88931,             0.66675,             0.34824,             0.52324,             0.36087,                 nan,              11.145,              1.2587,              810.91,            0.008416,            0.008416,            0.008416
                  66,              1.6903,              2.4555,              1.2368,             0.88984,             0.66817,             0.34851,             0.52434,             0.36085,                 nan,              11.124,              1.2616,              811.07,           0.0083913,           0.0083913,           0.0083913
                  67,               1.688,               2.453,              1.2346,             0.88847,             0.66781,             0.34962,             0.52469,             0.36115,                 nan,              11.121,              1.2642,               811.1,           0.0083665,           0.0083665,           0.0083665
                  68,              1.6908,              2.4548,              1.2369,             0.88872,             0.66524,             0.34966,             0.52412,             0.36081,                 nan,              11.124,              1.2665,              811.11,           0.0083418,           0.0083418,           0.0083418
                  69,              1.6893,              2.4498,              1.2332,             0.88806,             0.66484,             0.35031,             0.52452,             0.36174,                 nan,               11.15,              1.2673,              810.94,            0.008317,            0.008317,            0.008317
                  70,              1.6888,              2.4528,              1.2332,             0.88858,             0.66342,              0.3527,             0.52503,             0.36242,                 nan,              11.187,              1.2693,              811.13,           0.0082922,           0.0082922,           0.0082922
                  71,              1.6888,              2.4455,              1.2291,             0.88618,              0.6647,             0.35361,               0.526,             0.36298,                 nan,              11.195,              1.2712,              811.01,           0.0082675,           0.0082675,           0.0082675
                  72,              1.6852,              2.4461,              1.2295,              0.8854,             0.66485,             0.35448,              0.5265,             0.36255,                 nan,              11.218,              1.2737,              811.06,           0.0082428,           0.0082428,           0.0082428
                  73,              1.6839,              2.4417,              1.2284,             0.88531,             0.66371,             0.35492,             0.52628,             0.36299,                 nan,              11.233,              1.2758,              811.16,            0.008218,            0.008218,            0.008218
                  74,              1.6857,              2.4423,               1.227,             0.88667,             0.67784,             0.35538,             0.53335,             0.36679,                 nan,              11.224,              1.2777,              811.31,           0.0081932,           0.0081932,           0.0081932
                  75,              1.6843,              2.4394,              1.2254,             0.88487,             0.67756,             0.35592,             0.53383,             0.36694,                 nan,              11.223,              1.2796,              811.17,           0.0081685,           0.0081685,           0.0081685
                  76,              1.6821,              2.4396,              1.2254,             0.88448,             0.66178,             0.35595,              0.5262,             0.36113,                 nan,               11.26,              1.2813,              811.16,           0.0081437,           0.0081437,           0.0081437
                  77,              1.6833,              2.4369,              1.2249,             0.88301,             0.67463,             0.35785,             0.53327,             0.36636,                 nan,              11.301,              1.2828,              811.11,            0.008119,            0.008119,            0.008119
                  78,              1.6831,              2.4367,               1.227,             0.88272,             0.66858,             0.35826,             0.53071,             0.36209,                 nan,              11.368,              1.2839,              811.04,           0.0080942,           0.0080942,           0.0080942
                  79,              1.6781,              2.4347,              1.2224,             0.88275,             0.66954,              0.3598,             0.53193,             0.36318,                 nan,              11.411,              1.2857,              811.04,           0.0080695,           0.0080695,           0.0080695
                  80,              1.6827,              2.4384,              1.2253,             0.88321,             0.66874,             0.36058,             0.53245,             0.36695,                 nan,              11.463,              1.2876,              810.87,           0.0080447,           0.0080447,           0.0080447
                  81,              1.6775,              2.4335,              1.2231,             0.88248,             0.66531,             0.36081,             0.53082,             0.36596,                 nan,              11.467,              1.2896,              811.05,             0.00802,             0.00802,             0.00802
                  82,              1.6791,              2.4329,              1.2208,             0.88166,             0.66411,              0.3608,             0.53014,             0.36555,                 nan,              11.452,               1.291,              810.98,           0.0079953,           0.0079953,           0.0079953
                  83,              1.6788,              2.4372,              1.2204,             0.88273,             0.66212,             0.36156,             0.52979,             0.36522,                 nan,              11.464,               1.292,              810.88,           0.0079705,           0.0079705,           0.0079705
                  84,              1.6754,              2.4269,              1.2174,             0.87989,             0.64967,              0.3623,             0.52388,             0.36125,                 nan,              11.492,               1.293,              810.86,           0.0079457,           0.0079457,           0.0079457
                  85,              1.6763,              2.4309,              1.2188,             0.88196,             0.66304,             0.36449,             0.53141,             0.36704,                 nan,              11.522,              1.2945,              811.03,            0.007921,            0.007921,            0.007921
                  86,              1.6765,              2.4281,              1.2173,             0.88079,             0.65052,             0.36458,             0.52583,             0.36234,                 nan,              11.572,              1.2956,              811.03,           0.0078963,           0.0078963,           0.0078963
                  87,              1.6751,              2.4256,              1.2162,             0.87982,             0.66329,             0.36539,             0.53225,             0.36711,                 nan,               11.59,              1.2981,              811.06,           0.0078715,           0.0078715,           0.0078715
                  88,              1.6752,              2.4265,              1.2177,             0.88009,             0.66536,             0.36727,             0.53404,             0.36758,                 nan,              11.623,               1.299,              810.73,           0.0078467,           0.0078467,           0.0078467
                  89,              1.6772,              2.4284,              1.2156,             0.88149,              0.6633,             0.36745,             0.53326,             0.36709,                 nan,              11.676,              1.2998,              810.63,            0.007822,            0.007822,            0.007822
                  90,              1.6732,               2.424,              1.2137,              0.8784,             0.66238,             0.36863,             0.53373,              0.3662,                 nan,              11.733,              1.3009,              810.52,           0.0077973,           0.0077973,           0.0077973
                  91,               1.671,              2.4281,              1.2151,             0.87918,             0.66014,             0.36944,             0.53291,             0.36591,                 nan,              11.768,              1.3019,              810.56,           0.0077725,           0.0077725,           0.0077725
                  92,              1.6753,              2.4254,               1.214,             0.87886,             0.66032,             0.37005,             0.53353,              0.3662,                 nan,              11.785,              1.3031,              810.45,           0.0077478,           0.0077478,           0.0077478
                  93,              1.6721,              2.4181,              1.2103,             0.87784,             0.66233,             0.37063,             0.53486,              0.3668,                 nan,               11.79,              1.3045,              810.59,            0.007723,            0.007723,            0.007723
                  94,              1.6705,              2.4172,               1.211,              0.8766,             0.66129,             0.37171,              0.5345,             0.36806,                 nan,              11.786,              1.3057,              810.71,           0.0076983,           0.0076983,           0.0076983
                  95,              1.6704,              2.4218,              1.2106,             0.87793,             0.64649,              0.3719,             0.52761,              0.3647,                 nan,              11.804,              1.3065,              810.62,           0.0076735,           0.0076735,           0.0076735
                  96,              1.6727,              2.4218,              1.2109,             0.87837,             0.64769,             0.37275,             0.52848,             0.36487,                 nan,              11.807,              1.3071,              810.48,           0.0076488,           0.0076488,           0.0076488
                  97,              1.6729,              2.4141,               1.208,             0.87645,              0.6504,             0.37391,             0.53008,             0.36581,                 nan,              11.815,              1.3087,              810.47,            0.007624,            0.007624,            0.007624
                  98,              1.6684,              2.4168,              1.2101,             0.87604,               0.648,             0.37371,             0.52901,             0.36493,                 nan,              11.837,              1.3091,              810.44,           0.0075993,           0.0075993,           0.0075993
